subj_id,Status,Started.at,Completed.at,Reviewed.at,Archived.at,Time.taken,Completion.code,Total.approvals,Age,Sex,Ethnicity.simplified,Country.of.birth,Country.of.residence,Nationality,Language,Student.status,Employment.status
270441,APPROVED,2023-02-22T16:19:14.786000Z,2023-02-22T16:28:35.870000Z,2023-02-26T08:33:24.829000,2023-02-22T16:28:36.366022Z,562,3092805E,529,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
269621,APPROVED,2023-02-21T14:13:01.311000Z,2023-02-21T14:21:32.794000Z,2023-02-22T10:04:59.794000,2023-02-21T14:21:34.650515Z,512,3092805E,724,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
269343,APPROVED,2023-02-20T19:38:09.970000Z,2023-02-20T19:48:15.184000Z,2023-02-21T07:10:28.465000,2023-02-20T19:48:15.499963Z,606,3092805E,2714,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
269322,APPROVED,2023-02-20T18:42:05.961000Z,2023-02-20T18:52:42.037000Z,2023-02-20T19:39:56.947000,2023-02-20T18:52:42.407002Z,637,3092805E,1176,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
269312,APPROVED,2023-02-20T18:29:06.092000Z,2023-02-20T18:44:33.693000Z,2023-02-20T19:39:56.376000,2023-02-20T18:44:34.077616Z,928,3092805E,234,39,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
269347,APPROVED,2023-02-20T19:39:27.489000Z,2023-02-20T19:52:26.501000Z,2023-02-21T07:10:28.700000,2023-02-20T19:52:26.907962Z,780,3092805E,822,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
269472,APPROVED,2023-02-21T08:38:57.890000Z,2023-02-21T08:47:34.830000Z,2023-02-21T09:15:03.490000,2023-02-21T08:47:35.216297Z,517,3092805E,1322,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
270460,APPROVED,2023-02-22T17:30:22.508000Z,2023-02-22T17:50:55.560000Z,2023-02-26T08:33:25.035000,2023-02-22T17:50:55.977620Z,1234,3092805E,1117,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
270210,APPROVED,2023-02-21T21:16:07.813000Z,2023-02-21T21:25:09.331000Z,2023-02-22T10:05:03.546000,2023-02-21T21:25:09.815836Z,542,3092805E,587,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
269365,APPROVED,2023-02-20T19:46:20.300000Z,2023-02-20T19:58:40.681000Z,2023-02-21T07:10:29.054000,2023-02-20T19:58:41.141182Z,741,3092805E,1585,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
270035,APPROVED,2023-02-21T18:27:14.013000Z,2023-02-21T19:06:23.412000Z,2023-02-22T10:05:02.672000,2023-02-21T19:06:23.841234Z,2350,3092805E,1366,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
269331,APPROVED,2023-02-20T18:48:07.029000Z,2023-02-20T19:00:18.392000Z,2023-02-20T19:39:57.172000,2023-02-20T19:00:18.769669Z,732,3092805E,819,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
269555,APPROVED,2023-02-21T12:48:51.853000Z,2023-02-21T13:00:10.480000Z,2023-02-22T10:04:57.002000,2023-02-21T13:00:10.839085Z,679,3092805E,648,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
270592,APPROVED,2023-02-23T10:17:02.943000Z,2023-02-23T10:25:41.419000Z,2023-02-26T08:33:26.129000,2023-02-23T10:25:41.819926Z,519,3092805E,1114,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
269340,APPROVED,2023-02-20T19:30:38.256000Z,2023-02-20T19:41:01.986000Z,2023-02-21T07:10:27.981000,2023-02-20T19:41:02.354400Z,624,3092805E,502,24,Female,Other,United Kingdom,United Kingdom,Qatar,English,Yes,Due to start a new job within the next month
269572,APPROVED,2023-02-21T13:08:29.788000Z,2023-02-21T13:21:20.964000Z,2023-02-22T10:04:58.052000,2023-02-21T13:21:21.363166Z,772,3092805E,827,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
269608,APPROVED,2023-02-21T14:00:27.477000Z,2023-02-21T14:13:18.090000Z,2023-02-22T10:04:59.450000,2023-02-21T14:13:18.438214Z,771,3092805E,717,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
269262,APPROVED,2023-02-20T17:00:38.412000Z,2023-02-20T17:11:02.775000Z,2023-02-20T17:30:14.049000,2023-02-20T17:11:03.209760Z,625,3092805E,1174,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
269478,APPROVED,2023-02-21T08:42:25.804000Z,2023-02-21T08:51:18.288000Z,2023-02-21T09:15:03.276000,2023-02-21T08:51:18.609105Z,533,3092805E,859,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
270746,APPROVED,2023-02-23T15:09:13.816000Z,2023-02-23T15:19:10.347000Z,2023-02-26T08:33:26.851000,2023-02-23T15:19:10.764460Z,597,3092805E,663,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
270280,APPROVED,2023-02-22T09:19:10.939000Z,2023-02-22T09:30:24.653000Z,2023-02-22T10:05:04.621000,2023-02-22T09:30:25.059572Z,674,3092805E,895,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
269614,APPROVED,2023-02-21T14:01:17.693000Z,2023-02-21T14:17:58.727000Z,2023-02-22T10:04:59.366000,2023-02-21T14:17:59.336284Z,1002,3092805E,1290,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
269361,APPROVED,2023-02-20T19:43:16.194000Z,2023-02-20T19:57:12.389000Z,2023-02-21T07:10:30.213000,2023-02-20T19:57:17.766664Z,837,3092805E,1436,37,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Other
