subj_id,Status,Started.at,Completed.at,Reviewed.at,Archived.at,Time.taken,Completion.code,Total.approvals,Age,Sex,Ethnicity.simplified,Country.of.birth,Ethnicity,Nationality,Language,Student.status,Employment.status
232825,APPROVED,2022-11-15T12:38:29.324000Z,2022-11-15T12:52:18.209000Z,2022-11-15T12:58:16.903000,2022-11-15T12:52:18.716684Z,829,3092805E,121,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
232835,APPROVED,2022-11-15T13:00:19.018000Z,2022-11-15T13:12:15.748000Z,2022-11-16T08:26:37.981000,2022-11-15T13:12:16.059949Z,717,3092805E,587,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
232836,APPROVED,2022-11-15T13:00:26.512000Z,2022-11-15T13:13:55.572000Z,2022-11-16T08:26:38.114000,2022-11-15T13:13:56.156427Z,810,3092805E,63,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
232858,APPROVED,2022-11-15T13:41:12.427000Z,2022-11-15T13:53:01.436000Z,2022-11-16T08:26:38.243000,2022-11-15T13:53:02.312840Z,710,3092805E,1092,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
233153,APPROVED,2022-11-16T10:36:12.324000Z,2022-11-16T10:57:41.878000Z,2022-11-16T11:37:50.511000,2022-11-16T10:57:42.269246Z,1290,3092805E,366,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
233138,APPROVED,2022-11-16T10:35:53.478000Z,2022-11-16T10:47:24.121000Z,2022-11-16T11:37:50.610000,2022-11-16T10:47:24.451479Z,691,3092805E,88,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233147,APPROVED,2022-11-16T10:36:15.424000Z,2022-11-16T10:49:58.427000Z,2022-11-16T11:37:50.709000,2022-11-16T10:49:58.799867Z,824,3092805E,184,19,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
233142,APPROVED,2022-11-16T10:36:05.889000Z,2022-11-16T10:51:56.881000Z,2022-11-16T11:37:50.805000,2022-11-16T10:51:57.250538Z,951,3092805E,69,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233152,APPROVED,2022-11-16T10:36:01.090000Z,2022-11-16T10:48:18.314000Z,2022-11-16T11:37:50.901000,2022-11-16T10:48:18.709047Z,738,3092805E,610,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
233140,APPROVED,2022-11-16T10:36:03.915000Z,2022-11-16T10:47:24.792000Z,2022-11-16T11:37:50.999000,2022-11-16T10:47:25.187617Z,681,3092805E,235,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233159,APPROVED,2022-11-16T10:38:03.132000Z,2022-11-16T10:56:15.543000Z,2022-11-16T11:37:51.097000,2022-11-16T10:56:15.900066Z,1093,3092805E,478,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
233141,APPROVED,2022-11-16T10:36:05.512000Z,2022-11-16T10:52:28.522000Z,2022-11-16T11:37:51.203000,2022-11-16T10:52:28.911592Z,984,3092805E,258,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233143,APPROVED,2022-11-16T10:36:07.806000Z,2022-11-16T10:54:01.080000Z,2022-11-16T11:37:51.309000,2022-11-16T10:54:01.723814Z,1074,3092805E,7,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
233145,APPROVED,2022-11-16T10:36:12.508000Z,2022-11-16T10:48:26.184000Z,2022-11-16T11:37:51.698000,2022-11-16T10:48:26.572862Z,734,3092805E,101,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
233165,APPROVED,2022-11-16T10:36:12.150000Z,2022-11-16T10:54:55.657000Z,2022-11-16T11:37:51.800000,2022-11-16T10:54:55.996881Z,1124,3092805E,135,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233148,APPROVED,2022-11-16T10:36:13.025000Z,2022-11-16T10:55:27.505000Z,2022-11-16T11:37:51.904000,2022-11-16T10:55:27.990483Z,1155,3092805E,431,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
233157,APPROVED,2022-11-16T10:37:26.605000Z,2022-11-16T11:12:00.422000Z,2022-11-16T11:37:52.004000,2022-11-16T11:12:00.754286Z,2074,3092805E,729,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
233156,APPROVED,2022-11-16T10:37:25.394000Z,2022-11-16T10:53:20.096000Z,2022-11-16T11:37:53.436000,2022-11-16T10:53:20.435831Z,955,3092805E,609,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233163,APPROVED,2022-11-16T10:42:31.147000Z,2022-11-16T10:54:11.691000Z,2022-11-16T11:37:55.840000,2022-11-16T10:54:12.049554Z,701,3092805E,1223,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
233226,APPROVED,2022-11-16T11:37:50.999000Z,2022-11-16T11:49:12.481000Z,2022-11-16T12:45:15.072000,2022-11-16T11:49:12.840813Z,682,3092805E,473,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233216,APPROVED,2022-11-16T11:37:41.447000Z,2022-11-16T11:51:52.762000Z,2022-11-16T12:45:15.172000,2022-11-16T11:51:53.129010Z,852,3092805E,176,29,Male,White,Australia,United Kingdom,Australia,English,No,Full-Time
233253,APPROVED,2022-11-16T11:38:33.277000Z,2022-11-16T11:51:57.108000Z,2022-11-16T12:45:15.277000,2022-11-16T11:51:57.487119Z,804,3092805E,404,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233214,APPROVED,2022-11-16T11:37:40.298000Z,2022-11-16T11:50:11.849000Z,2022-11-16T12:45:15.376000,2022-11-16T11:50:12.216733Z,752,3092805E,487,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
233250,APPROVED,2022-11-16T11:39:38.268000Z,2022-11-16T11:53:12.861000Z,2022-11-16T12:45:15.479000,2022-11-16T11:53:13.246148Z,815,3092805E,442,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
233217,APPROVED,2022-11-16T11:37:43.574000Z,2022-11-16T11:58:42.450000Z,2022-11-16T12:45:15.577000,2022-11-16T11:58:42.855111Z,1259,3092805E,67,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233218,APPROVED,2022-11-16T11:37:43.792000Z,2022-11-16T11:51:09.897000Z,2022-11-16T12:45:15.682000,2022-11-16T11:51:10.260662Z,807,3092805E,855,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233219,APPROVED,2022-11-16T11:37:44.754000Z,2022-11-16T11:53:21.014000Z,2022-11-16T12:45:15.780000,2022-11-16T11:53:21.446065Z,937,3092805E,1120,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
233224,APPROVED,2022-11-16T11:37:47.967000Z,2022-11-16T11:53:06.903000Z,2022-11-16T12:45:15.878000,2022-11-16T11:53:07.351283Z,919,3092805E,1241,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233223,APPROVED,2022-11-16T11:37:48.376000Z,2022-11-16T11:52:06.741000Z,2022-11-16T12:45:15.976000,2022-11-16T11:52:07.171604Z,859,3092805E,2060,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
233246,APPROVED,2022-11-16T11:38:53.137000Z,2022-11-16T11:52:35.929000Z,2022-11-16T12:45:16.312000,2022-11-16T11:52:36.316627Z,823,3092805E,99,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233238,APPROVED,2022-11-16T11:38:20.012000Z,2022-11-16T11:52:33.625000Z,2022-11-16T12:45:16.403000,2022-11-16T11:52:33.951849Z,854,3092805E,1469,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233221,APPROVED,2022-11-16T11:37:48.847000Z,2022-11-16T11:50:24.347000Z,2022-11-16T12:45:16.494000,2022-11-16T11:50:26.142282Z,756,3092805E,458,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
233247,APPROVED,2022-11-16T11:37:48.539000Z,2022-11-16T12:05:02.250000Z,2022-11-16T12:45:16.592000,2022-11-16T12:05:02.614709Z,1634,3092805E,490,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
233228,APPROVED,2022-11-16T11:37:52.743000Z,2022-11-16T11:49:52.985000Z,2022-11-16T12:45:16.688000,2022-11-16T11:49:53.368336Z,721,3092805E,311,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233254,APPROVED,2022-11-16T11:37:47.631000Z,2022-11-16T11:57:08.453000Z,2022-11-16T12:45:16.787000,2022-11-16T11:57:09.171735Z,1161,3092805E,979,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
233252,APPROVED,2022-11-16T11:41:04.666000Z,2022-11-16T11:52:26.440000Z,2022-11-16T12:45:16.883000,2022-11-16T11:52:26.848378Z,682,3092805E,34,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
233222,APPROVED,2022-11-16T11:37:48.834000Z,2022-11-16T11:51:01.177000Z,2022-11-16T12:45:16.983000,2022-11-16T11:51:01.572419Z,793,3092805E,533,32,Female,White,France,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
233241,APPROVED,2022-11-16T11:38:29.539000Z,2022-11-16T11:52:45.414000Z,2022-11-16T12:45:17.080000,2022-11-16T11:52:45.801729Z,856,3092805E,39,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
233242,APPROVED,2022-11-16T11:37:50.245000Z,2022-11-16T11:53:08.892000Z,2022-11-16T12:45:17.174000,2022-11-16T11:53:09.306828Z,919,3092805E,939,35,Female,White,Poland,United Kingdom,United Kingdom,English,No,Full-Time
233240,APPROVED,2022-11-16T11:37:55.967000Z,2022-11-16T11:50:59.956000Z,2022-11-16T12:45:17.269000,2022-11-16T11:51:00.331034Z,784,3092805E,579,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
233236,APPROVED,2022-11-16T11:38:02.539000Z,2022-11-16T11:53:41.933000Z,2022-11-16T12:45:17.368000,2022-11-16T11:53:42.350362Z,940,3092805E,448,32,Female,Asian,Singapore,United Kingdom,Singapore,English,DATA_EXPIRED,DATA_EXPIRED
233229,APPROVED,2022-11-16T11:37:55.125000Z,2022-11-16T11:49:56.325000Z,2022-11-16T12:45:17.466000,2022-11-16T11:49:56.749180Z,722,3092805E,92,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
